Rails,workaround,remove email field from devise,https://stackoverflow.com/questions/42337164/remove-email-field-in-devise-gem
Javascript,insight,find items in an array,https://www.w3schools.com/jsref/jsref_find.asp
Html,demo,align element blocks,https://stackoverflow.com/questions/10490639/why-can-i-not-right-align-an-element-with-display-block-and-width-x
Ruby,formula,determine if a variable is within range,https://stackoverflow.com/questions/870507/determining-if-a-variable-is-within-range
